county_name,pop_2026_est,citizens_at_risk_2026,compound_disruption_rate,mean_pred_risk,CACI_score,CACI_tier,urgency_score,urgency_tier,quadrant,primary_intervention
Taita-Taveta,399452,294904,0.7382716049382716,0.8143652499454936,0.88698818,High/Frontier,0.8075683523647645,Critical,Q1: CRITICAL,Emergency Climate Adaptation + Infrastructure Fund
Kakamega,2189820,1528312,0.6979166666666666,0.6969591165318281,0.75080082,High/Frontier,0.7913630261204136,Critical,Q1: CRITICAL,Emergency Climate Adaptation + Infrastructure Fund
Busia,1047881,584982,0.558252427184466,0.6305391916467847,0.56399261,Moderate,0.7785274854375348,Critical,Q1: CRITICAL,Emergency Climate Adaptation + Infrastructure Fund
Kwale,1016385,679243,0.6682926829268293,0.7017371009279506,0.78996168,High/Frontier,0.7589525309064669,Critical,Q1: CRITICAL,Emergency Climate Adaptation + Infrastructure Fund
Trans Nzoia,1161219,603958,0.5201072386058981,0.6048907046517595,0.67477077,Moderate,0.6884444860981143,High,Q1: CRITICAL,Emergency Climate Adaptation + Infrastructure Fund
Murang'a,1238958,841095,0.6788732394366197,0.6886813447939126,0.97390659,High/Frontier,0.6634183955927531,High,Q1: CRITICAL,Emergency Climate Adaptation + Infrastructure Fund
Nyeri,890154,449179,0.5046082949308756,0.5747619811868765,0.73309273,High/Frontier,0.6341510938397033,High,Q1: CRITICAL,Emergency Climate Adaptation + Infrastructure Fund
Mombasa,1416825,876765,0.6188235294117647,0.6964196621250337,1.0,High/Frontier,0.6237873976730972,High,Q2: PRIORITY,Mobilise Existing Capacity + Early Warning Systems
Nairobi,5155765,3057432,0.5930122757318225,0.7136613600282035,1.0,High/Frontier,0.6201701524838668,High,Q2: PRIORITY,Mobilise Existing Capacity + Early Warning Systems
Kajiado,1310717,462418,0.35279805352798055,0.4522598181260485,0.50922766,Moderate,0.6029494276774279,High,Q1: CRITICAL,Emergency Climate Adaptation + Infrastructure Fund
Vihiga,691817,313047,0.4525,0.5131351604661232,0.7063066,High/Frontier,0.5871040758701198,High,Q1: CRITICAL,Emergency Climate Adaptation + Infrastructure Fund
Nyandarua,748422,421232,0.56282722513089,0.630646405761802,1.0,High/Frontier,0.5588171519564735,High,Q2: PRIORITY,Mobilise Existing Capacity + Early Warning Systems
Nakuru,2535279,1127201,0.4446064139941691,0.5031740686567172,0.76465092,High/Frontier,0.5478431923715711,High,Q1: CRITICAL,Emergency Climate Adaptation + Infrastructure Fund
Kilifi,1704630,950508,0.5576036866359447,0.6077111716305588,1.0,High/Frontier,0.5434556610162613,High,Q2: PRIORITY,Mobilise Existing Capacity + Early Warning Systems
Migori,1309071,529475,0.4044665012406948,0.4958482265936683,0.7440863,High/Frontier,0.5337931213423286,High,Q1: CRITICAL,Emergency Climate Adaptation + Infrastructure Fund
Meru,1812419,620270,0.3422330097087379,0.42550401731277954,0.60737276,Moderate,0.532753548259911,High,Q1: CRITICAL,Emergency Climate Adaptation + Infrastructure Fund
Uasin Gishu,1363888,755625,0.5540229885057472,0.5902873523481176,1.0,High/Frontier,0.5319832537269469,High,Q2: PRIORITY,Mobilise Existing Capacity + Early Warning Systems
Kitui,1332230,685878,0.5148342059336823,0.5479581911199027,1.0,High/Frontier,0.4885636299003861,Moderate,Q2: PRIORITY,Mobilise Existing Capacity + Early Warning Systems
Kiambu,2834903,1270819,0.4482758620689655,0.5843414517048259,1.0,High/Frontier,0.4747642329177496,Moderate,Q2: PRIORITY,Mobilise Existing Capacity + Early Warning Systems
Siaya,1164552,534985,0.4593908629441624,0.5292005622955641,1.0,High/Frontier,0.449904724311209,Moderate,Q2: PRIORITY,Mobilise Existing Capacity + Early Warning Systems
Narok,1357658,362798,0.267223382045929,0.34813563280091075,0.61885037,Moderate,0.4458210601299282,Moderate,Q3: PREVENTATIVE,Structural Capacity Building (Pre-Crisis Investment)
Elgeyo-Marakwet,532898,115847,0.21739130434782608,0.2823512422828258,0.53311488,Moderate,0.42766193928443447,Moderate,Q3: PREVENTATIVE,Structural Capacity Building (Pre-Crisis Investment)
Kirinyaga,715734,289475,0.40444444444444444,0.4953112539788669,1.0,High/Frontier,0.4031218520154784,Moderate,Q2: PRIORITY,Mobilise Existing Capacity + Early Warning Systems
Lamu,168753,70119,0.4155124653739612,0.47464575302980266,1.0,High/Frontier,0.3973250592974864,Moderate,Q2: PRIORITY,Mobilise Existing Capacity + Early Warning Systems
Baringo,781809,192382,0.24607329842931938,0.28615983378309184,0.64159721,Moderate,0.38913624374878875,Moderate,Q3: PREVENTATIVE,Structural Capacity Building (Pre-Crisis Investment)
Tana River,370457,145713,0.3933333333333333,0.4782737253857172,1.0,High/Frontier,0.3880230713789644,Moderate,Q2: PRIORITY,Mobilise Existing Capacity + Early Warning Systems
Makueni,1158067,399236,0.34474327628361856,0.48327436601920026,1.0,High/Frontier,0.3660124271241,Moderate,Q2: PRIORITY,Mobilise Existing Capacity + Early Warning Systems
Laikipia,608035,236382,0.3887640449438202,0.41313521185726404,1.0,High/Frontier,0.34963014345268906,Moderate,Q4: BEST PRACTICE,Best Practice Knowledge Sharing + Sustain
Nandi,1038536,358542,0.34523809523809523,0.36821765052294586,1.0,High/Frontier,0.3025657016459117,Moderate,Q4: BEST PRACTICE,Best Practice Knowledge Sharing + Sustain
